CAT1,CAT2,DA1,DA2,DA3,FAT,LAB1,LAB2,LAB3,LAB4,LAB5,LAB6,LFAT
7,6,8,9,9,42,8,9,10,9,7,7,31
9,7,10,7,10,48,10,7,8,7,7,9,31
10,8,9,9,8,47,8,10,10,9,8,8,30
5,6,8,7,9,50,10,9,7,7,7,8,31
6,8,7,7,8,51,7,8,9,8,8,9,31
5,10,9,7,7,44,8,7,9,9,7,8,32
7,9,7,10,10,40,8,7,9,9,7,10,30
8,10,7,7,8,40,8,10,7,7,7,8,30
7,8,8,8,10,45,7,8,10,8,8,9,32
6,8,10,10,9,45,8,8,9,7,10,10,30
9,10,9,7,10,45,7,7,7,9,8,7,30
5,9,9,10,8,40,7,7,8,7,9,10,30
9,5,8,8,10,46,9,7,9,8,8,8,30
6,9,9,7,8,42,9,7,9,10,7,10,31
10,9,8,10,10,46,9,10,7,10,8,7,30
7,6,9,7,8,44,9,7,9,10,9,9,32
5,5,8,10,7,54,8,9,10,9,10,7,30
10,8,8,10,7,55,10,8,10,8,8,9,31
9,9,9,9,9,45,8,7,10,10,10,10,30
6,9,9,8,8,50,10,7,8,9,10,7,31
8,9,9,9,7,54,8,7,8,9,9,7,32
6,6,7,7,9,52,10,8,8,9,7,9,31
5,6,8,10,8,41,10,7,8,8,9,10,30
8,10,8,7,7,43,9,9,7,9,10,9,32
7,10,9,10,10,47,8,8,7,10,8,8,30
5,7,7,7,8,50,8,7,10,8,8,10,32
10,9,8,9,9,42,9,10,7,10,10,8,31
7,7,10,10,10,41,9,10,10,9,7,8,31
7,6,10,7,7,43,10,8,10,9,7,9,31
5,5,8,9,7,53,7,9,9,7,9,10,30
8,6,8,10,8,50,9,10,10,7,10,7,30
6,7,7,8,8,51,8,7,7,8,9,7,30
7,8,9,9,9,42,9,7,8,7,10,10,32
9,9,9,9,10,50,9,7,10,9,8,9,32
6,10,10,8,7,54,9,9,8,9,9,9,31
8,6,10,7,7,42,9,7,9,7,9,7,31
5,9,9,10,8,40,8,10,8,10,10,10,31
10,7,10,9,8,44,9,9,9,10,9,8,30
9,5,7,7,7,47,7,7,7,10,10,9,32
7,10,10,9,9,48,9,8,10,7,10,7,30
10,7,10,10,10,47,10,7,8,9,8,10,30
6,6,7,8,7,47,8,9,9,7,9,7,30
10,10,10,8,10,41,9,8,10,9,10,8,31
5,5,7,10,7,41,9,7,7,7,8,7,30
7,10,9,7,9,54,10,8,7,9,10,8,30
10,9,8,7,7,49,7,8,8,8,8,9,31
10,10,7,9,9,50,9,10,7,8,8,10,30
7,6,10,9,9,45,10,9,7,10,10,10,30
10,7,9,8,7,47,8,10,7,8,8,10,30
6,7,10,10,9,43,8,7,8,7,8,7,32
9,8,9,8,9,54,7,10,8,10,7,10,31
10,10,9,9,7,41,7,10,9,9,10,8,30
10,10,7,9,7,43,7,7,10,10,7,9,30
10,9,7,10,7,51,8,7,10,7,9,10,32
6,6,7,9,9,46,9,7,9,7,9,10,30
5,8,9,10,10,54,8,10,9,9,7,7,31
6,5,7,7,10,51,9,10,9,9,8,8,32
10,7,9,10,7,53,8,10,8,9,8,9,31
5,8,9,9,10,55,8,9,7,8,8,8,30
7,6,10,9,8,50,10,7,8,10,9,7,32
9,10,9,8,8,51,10,8,7,7,8,9,32
9,7,8,8,10,54,9,9,10,8,9,10,31
9,10,7,8,10,40,8,8,8,8,7,7,32
10,6,7,9,10,51,9,10,7,10,8,7,30
9,5,10,7,10,52,9,9,7,9,7,10,32
5,6,10,7,7,50,8,8,7,10,8,8,31
8,5,8,7,10,40,9,10,10,8,8,10,30
8,8,8,10,7,47,8,9,10,8,10,7,32
7,6,8,10,8,44,10,8,9,8,9,10,31
8,7,9,8,10,50,7,7,9,10,8,8,30
6,6,9,7,10,49,9,8,7,9,8,10,30
6,8,7,8,8,45,9,8,9,10,7,8,30
7,6,9,8,10,41,10,7,10,10,10,9,30
7,9,7,9,8,47,9,9,10,7,7,9,30
6,5,7,8,10,50,7,7,7,8,10,8,31
7,8,7,9,10,46,10,10,7,8,8,9,31
5,10,8,10,8,52,7,8,8,8,8,9,30
5,7,8,7,10,46,8,9,9,8,9,8,30
6,10,10,9,7,43,10,7,8,8,8,7,30
7,7,8,8,9,44,10,7,8,7,8,10,32
6,6,8,9,10,48,7,10,8,9,10,9,30
8,5,7,9,10,44,8,10,8,10,7,8,31
8,9,9,9,9,44,8,8,7,7,10,9,31
6,8,10,9,9,51,10,10,9,9,10,10,32
5,6,8,8,8,53,9,7,8,9,10,9,32
9,5,9,8,8,43,8,8,9,8,9,8,32
9,6,10,9,9,46,8,7,8,7,8,9,32
9,6,7,7,7,51,7,9,9,7,8,8,30
5,6,9,10,8,45,7,10,10,7,8,10,32
10,6,7,9,9,40,10,9,7,10,9,7,32
5,6,7,8,8,53,10,7,7,8,7,9,30
7,10,7,8,8,47,8,7,9,10,8,8,30
5,9,10,7,10,42,8,8,10,10,7,10,31
7,7,10,8,10,42,7,9,7,8,7,7,30
7,10,8,10,7,50,9,9,7,7,10,10,30
7,8,9,9,7,46,7,7,8,7,10,10,31
9,8,10,7,8,40,8,7,8,7,7,10,31
5,6,7,10,8,50,7,8,8,9,10,8,30
8,10,9,7,9,51,10,10,7,8,7,9,30
7,9,8,8,7,41,10,9,9,7,8,9,30
5,6,8,9,8,47,7,7,8,10,9,10,31
9,6,10,7,7,50,7,10,7,8,10,10,31
5,7,7,7,10,51,10,9,10,7,8,7,31
5,6,9,8,8,49,7,9,8,10,10,10,32
10,6,8,10,8,48,9,7,7,9,7,10,30
7,8,10,7,8,54,7,10,10,10,7,7,31
5,8,10,8,10,54,7,8,10,9,7,9,30
5,8,8,7,7,48,9,7,10,7,9,8,31
7,5,7,7,10,50,9,9,7,8,9,9,31
8,7,10,7,8,45,8,8,8,10,10,10,30
8,5,10,10,8,53,8,7,7,7,7,8,30
10,8,8,8,7,43,10,9,7,10,8,7,32
10,5,8,7,8,45,9,8,7,10,10,10,32
8,7,7,7,9,50,7,8,8,7,8,9,32
10,8,10,8,8,48,7,8,10,7,8,9,32
7,5,8,7,8,41,8,10,8,8,9,7,31
10,10,9,10,7,55,9,10,10,9,10,7,31
5,10,9,10,10,40,9,7,7,10,7,9,30
10,9,9,8,8,49,8,8,10,8,10,10,31
8,6,8,7,8,45,10,10,8,7,9,9,32
8,9,7,8,10,47,9,7,8,10,8,10,31
10,7,8,10,8,54,8,9,7,9,9,10,32
8,8,8,7,9,43,7,7,10,7,10,8,31
9,10,7,10,7,50,7,9,9,8,10,7,32
9,10,8,9,8,47,7,10,9,7,10,9,32
8,8,9,9,10,43,10,7,10,9,7,7,31
7,10,7,8,7,40,7,10,9,8,8,7,30
7,6,8,9,7,46,9,10,7,9,7,10,32
7,9,8,10,10,47,9,8,7,9,8,8,32
10,5,7,7,7,47,8,10,8,8,8,9,30
9,7,10,10,9,53,9,8,7,8,9,8,32
6,5,9,8,8,43,8,8,8,7,8,10,32
10,9,10,8,10,55,9,7,10,7,8,7,32
7,6,10,7,7,52,9,9,10,8,7,8,31
10,9,7,7,7,46,9,8,9,8,8,10,31
8,10,8,9,10,46,10,8,7,7,8,9,31
7,6,8,7,8,55,8,7,9,10,8,9,32
7,9,9,10,8,42,9,9,10,10,10,9,30
5,10,9,10,8,46,7,8,10,9,10,7,32
5,9,9,10,10,50,9,8,8,10,9,7,31
8,9,10,8,7,46,10,8,9,7,7,10,31
8,6,8,10,10,53,9,8,8,8,7,10,31
16,15,10,10,10,60,9,10,9,7,9,8,32
19,19,9,7,7,73,9,7,7,7,8,7,31
20,16,7,10,10,74,8,8,9,7,9,7,31
18,20,10,9,9,76,7,7,10,8,8,7,32
12,17,9,8,7,58,9,7,8,9,8,9,32
15,14,8,10,8,62,7,9,10,10,7,9,31
17,15,9,9,9,70,9,9,9,7,10,10,32
15,17,10,9,7,60,9,7,10,7,8,9,32
12,14,9,10,10,74,7,10,7,7,9,7,31
17,17,9,7,7,79,7,10,8,10,8,9,32
15,13,9,7,10,59,9,8,7,8,9,10,30
13,18,10,8,10,74,7,8,10,8,7,10,31
17,15,8,7,7,79,7,8,8,8,10,9,31
19,17,9,7,9,57,8,10,10,8,8,10,30
16,13,8,8,8,61,7,8,7,8,9,9,30
17,17,10,10,7,63,7,8,7,9,9,7,32
11,14,10,10,8,58,8,10,9,10,9,9,30
20,15,9,10,10,60,10,7,8,7,9,10,30
16,11,8,9,7,69,10,8,7,8,9,9,32
14,15,9,7,9,66,9,9,10,7,10,7,30
17,20,9,7,10,62,10,8,9,10,9,8,30
14,20,7,7,7,56,8,10,8,9,8,10,30
17,16,7,9,10,59,9,9,9,8,8,9,31
17,19,7,10,8,66,8,9,8,8,7,9,30
17,17,10,10,10,63,10,9,10,10,9,9,32
14,16,9,9,8,67,8,8,10,7,10,7,30
18,15,9,10,9,61,9,8,8,8,9,10,30
13,14,7,10,9,77,10,7,8,10,10,10,32
16,13,7,9,8,79,8,8,10,8,8,10,32
17,15,10,8,9,67,8,7,9,7,8,10,32
20,19,9,7,8,69,7,7,10,7,10,10,31
16,20,7,8,9,77,8,10,7,9,7,7,31
18,11,7,9,7,66,8,9,8,10,8,10,30
17,20,7,9,9,77,9,9,10,9,9,10,31
12,13,8,8,9,69,7,8,7,7,9,8,31
18,13,8,10,8,78,10,8,8,10,9,8,31
14,16,8,9,7,60,8,8,7,8,10,7,31
17,17,9,8,9,56,7,7,10,8,8,8,32
16,15,7,7,7,66,7,10,9,9,10,8,31
13,15,10,7,8,63,8,7,7,7,9,9,31
16,19,9,8,7,73,8,10,7,10,8,7,30
12,20,9,8,7,78,10,8,7,8,9,10,30
14,15,9,9,7,78,7,9,10,10,8,10,32
12,18,7,9,10,73,8,9,9,10,10,7,30
17,16,8,10,9,79,7,7,9,10,10,10,31
13,18,10,10,8,58,10,9,8,10,10,10,32
13,19,7,8,9,75,9,10,7,7,7,9,32
19,17,10,10,9,75,10,9,8,9,9,9,31
17,18,10,9,7,69,7,9,9,9,8,7,30
13,16,9,10,7,58,8,10,9,8,10,8,31
16,18,8,8,10,66,8,10,7,8,9,7,30
19,11,10,7,10,62,8,8,9,10,8,10,30
17,19,9,7,9,73,9,9,7,10,10,8,31
19,20,8,8,9,66,8,10,8,7,8,7,31
19,18,8,9,9,71,10,7,7,9,7,10,32
12,16,7,10,8,78,9,7,9,9,8,7,30
20,17,10,10,9,66,7,10,10,8,10,9,31
15,13,10,8,8,66,8,8,7,9,10,9,31
12,15,7,10,9,68,9,9,10,7,9,8,31
17,17,10,7,10,57,8,8,8,10,9,9,31
12,11,9,7,10,66,10,9,9,10,7,8,32
13,18,9,8,7,60,9,8,9,7,10,9,32
17,20,10,8,10,76,9,9,10,8,8,10,31
18,11,10,7,9,58,9,8,9,10,7,10,32
20,18,8,8,8,57,10,10,7,8,9,7,30
15,15,7,8,7,67,7,7,8,7,7,10,31
16,14,8,9,8,72,9,8,9,8,10,7,30
18,18,8,10,8,68,9,9,9,10,8,10,32
16,19,9,7,7,64,8,7,7,7,7,10,30
20,14,10,9,10,73,7,8,8,8,8,9,32
14,11,10,10,9,79,9,8,7,9,7,9,32
15,20,7,9,9,72,8,7,8,10,9,7,32
19,12,10,9,7,56,8,7,7,9,10,7,31
18,16,7,8,10,66,10,10,10,10,8,8,32
20,15,7,10,7,57,7,10,10,10,8,10,31
18,19,10,7,7,77,9,9,7,9,10,8,32
20,11,9,8,8,65,10,10,10,7,7,10,30
14,16,9,10,7,66,8,8,8,9,10,9,30
13,15,9,10,7,57,7,7,8,9,10,7,30
20,14,7,7,8,57,8,8,7,10,9,9,31
18,13,7,10,9,56,7,10,7,7,8,8,31
20,14,10,9,9,77,10,8,9,7,7,9,30
14,18,10,7,8,78,8,10,9,8,8,9,30
11,15,8,8,10,77,7,10,10,7,8,9,31
12,14,10,10,7,60,8,9,7,9,10,8,30
11,15,8,10,10,77,7,7,9,8,7,9,32
16,15,9,7,8,68,7,10,9,8,7,10,31
14,12,8,7,10,71,7,7,7,10,8,8,32
16,17,7,9,7,57,10,9,8,7,8,10,32
17,18,9,7,8,68,8,8,7,10,9,10,30
16,14,7,9,7,56,10,7,8,10,8,9,30
17,14,10,9,7,57,7,7,10,7,9,10,31
19,14,9,9,10,68,10,10,7,8,10,9,31
15,18,8,10,9,67,9,10,9,10,7,9,32
13,12,8,10,8,71,8,9,7,9,9,10,32
13,14,7,8,9,60,9,8,8,10,8,10,31
12,11,7,9,7,73,8,10,10,9,10,9,31
11,13,10,8,7,69,9,9,8,9,8,10,31
12,12,10,8,8,57,10,7,7,7,7,7,30
18,15,7,9,9,59,9,7,9,9,8,8,32
15,16,8,7,8,78,7,9,8,8,10,8,31
13,11,9,10,9,70,9,9,10,9,10,9,32
18,17,7,8,9,71,7,10,9,8,9,9,32
13,13,7,7,7,72,7,8,7,8,7,7,32
19,14,7,9,7,78,7,10,9,9,9,7,31
20,14,10,9,10,60,10,8,9,9,10,10,30
19,12,8,7,8,77,7,7,8,9,8,9,30
12,11,10,7,8,62,9,9,7,10,7,10,31
18,19,8,9,8,71,8,10,10,7,8,10,31
16,15,8,7,8,59,8,9,10,9,10,9,31
12,16,7,9,9,71,7,9,9,7,8,10,32
17,12,10,8,7,65,7,7,8,9,9,10,30
12,15,8,8,10,63,7,8,8,10,10,7,31
15,19,10,8,7,68,9,7,7,7,7,7,31
17,11,10,10,8,63,9,9,7,8,9,7,32
14,19,7,9,7,61,7,10,8,9,9,8,32
13,15,9,9,8,57,7,10,7,9,8,7,30
17,14,8,8,10,59,9,7,7,10,9,7,32
14,19,10,7,10,72,7,7,10,9,9,10,30
15,19,9,8,9,73,9,9,7,10,7,9,30
13,13,10,9,9,72,9,10,8,8,8,10,31
13,18,9,10,8,58,9,9,9,10,9,8,30
15,19,10,9,7,72,7,10,9,10,8,8,31
17,13,8,9,10,75,8,9,9,9,8,9,32
11,20,9,9,10,78,7,9,7,9,8,7,30
12,12,10,10,10,59,8,8,8,7,10,8,32
14,20,10,7,10,56,7,10,9,7,8,10,30
18,18,7,9,8,64,9,7,8,8,10,9,31
13,16,7,8,10,66,10,9,8,7,9,9,32
16,19,9,9,8,75,10,9,7,8,7,9,31
18,16,10,10,8,75,10,9,9,7,7,9,32
20,11,7,10,8,78,8,7,7,7,7,7,32
18,12,9,10,9,62,10,10,8,9,9,8,30
18,19,7,8,10,75,9,10,10,9,10,10,30
11,17,10,8,7,77,8,10,8,10,10,8,30
18,17,10,8,7,78,10,7,10,7,10,10,30
19,20,8,8,9,63,10,9,10,9,9,9,30
13,12,8,9,9,64,8,10,8,8,9,8,30
11,15,8,8,10,72,8,8,10,9,9,9,31
11,17,10,10,10,72,10,7,10,10,9,7,30
13,12,7,10,8,79,9,10,9,7,9,9,30
18,18,10,7,10,78,10,9,7,10,10,10,30
16,13,7,10,9,71,9,7,9,8,7,7,32
15,14,9,7,8,60,7,10,10,9,8,8,32
14,20,10,10,10,66,10,7,7,9,7,10,32
15,19,7,10,9,58,8,8,8,10,7,8,31
14,18,7,9,9,77,10,9,7,9,10,10,30
12,11,7,10,7,74,9,10,9,8,9,9,30
14,11,9,7,10,62,7,8,9,10,9,7,31
15,15,10,7,8,69,7,8,10,8,10,8,32
20,17,7,8,7,65,10,9,9,8,10,7,30
11,12,7,8,8,74,7,10,7,7,10,9,30
12,19,8,8,9,78,10,8,8,10,10,10,30
16,11,8,8,10,67,8,9,7,8,10,9,32
12,17,8,8,9,74,8,9,10,7,10,10,32
11,16,10,7,8,70,10,10,9,9,10,10,30
17,18,8,7,9,63,10,8,9,7,10,9,30
16,13,10,9,9,71,7,10,7,8,9,8,31
17,16,7,8,8,67,7,9,8,9,10,8,32
16,16,9,10,10,62,10,10,7,9,8,10,30
18,20,8,8,8,79,8,8,9,8,9,9,32
11,11,9,8,10,76,7,9,8,7,8,7,30
16,18,8,8,7,66,8,10,7,9,8,8,30
14,16,9,8,9,72,8,10,9,8,8,9,31
12,20,9,7,7,70,9,10,8,7,9,7,32
15,18,7,8,8,63,8,10,9,7,9,8,30
18,13,7,10,9,60,7,8,10,10,7,9,30
18,20,8,7,7,76,10,8,10,8,10,7,30
14,16,7,7,9,60,10,7,8,7,7,8,32
17,15,10,8,9,62,8,10,10,10,10,8,30
14,20,10,8,7,79,7,10,8,9,9,7,32
12,20,7,10,10,70,10,9,10,8,9,10,30
11,16,10,9,7,58,10,10,7,9,7,9,30
14,14,9,10,8,75,8,7,7,7,8,7,31
19,17,10,8,10,63,9,9,8,8,7,10,30
15,17,10,7,8,78,8,10,10,8,10,7,31
16,15,7,7,7,77,7,9,9,7,7,8,32
19,14,8,8,7,68,7,7,9,8,9,9,32
20,16,9,7,10,66,7,7,7,7,7,10,31
20,18,7,8,9,62,9,8,8,8,10,8,32
16,13,9,7,10,69,10,9,7,7,7,8,31
16,14,9,9,10,63,7,10,8,8,9,9,30
14,17,7,8,7,79,7,8,9,8,9,9,32
20,15,9,7,10,67,7,9,7,9,10,7,30
13,11,8,7,10,60,9,9,9,10,7,10,31
18,18,9,8,9,76,8,10,7,7,9,8,31
20,12,9,8,9,72,9,9,9,9,9,10,31
11,13,8,10,8,72,7,10,8,9,8,8,32
17,14,7,8,7,79,8,9,9,10,8,8,32
12,20,7,7,8,64,8,8,7,7,10,8,30
13,13,8,9,7,58,9,8,9,8,8,10,32
20,18,9,9,7,68,7,7,8,7,10,7,32
12,14,9,9,7,71,9,10,9,9,10,7,31
16,14,9,7,7,75,8,7,7,7,7,10,31
11,19,8,8,9,75,9,7,10,9,9,9,31
17,13,9,7,8,67,9,10,7,9,8,7,32
19,11,7,7,8,79,8,10,10,10,8,10,31
18,12,7,9,9,72,10,10,10,7,9,9,31
17,11,10,9,8,79,10,10,7,9,8,10,31
16,14,9,7,8,72,8,10,9,10,9,8,31
11,14,8,9,10,70,7,10,10,10,9,7,35
16,18,8,9,8,75,7,7,10,8,8,9,35
20,12,8,9,10,59,9,9,7,7,9,8,33
17,20,9,8,8,79,8,10,7,10,7,8,34
12,13,8,7,10,57,9,10,10,9,7,9,33
19,16,7,9,10,68,9,8,9,7,8,8,35
18,13,9,9,10,67,7,8,7,8,9,10,34
12,14,10,9,10,67,10,10,9,10,10,9,37
15,16,7,9,9,66,8,10,9,8,8,8,35
20,15,10,9,7,71,7,10,8,10,10,8,36
17,12,8,9,7,62,10,9,8,8,9,9,36
18,18,10,10,10,70,7,9,10,10,10,7,37
12,19,8,9,9,70,10,8,9,7,9,7,36
18,11,9,7,10,68,10,8,7,9,8,7,34
17,16,10,8,9,73,9,9,9,7,9,8,36
13,11,8,7,8,69,9,10,10,10,7,7,35
20,19,8,10,10,73,9,9,9,9,10,10,33
14,19,10,7,8,64,10,7,8,10,7,7,34
17,15,10,7,10,74,8,9,7,9,7,10,34
15,15,7,8,10,59,10,9,8,9,8,8,36
17,19,9,9,9,73,8,9,8,7,8,9,36
20,17,10,10,9,77,9,8,10,8,9,8,36
18,17,7,9,8,59,7,9,10,10,7,7,34
20,14,9,8,7,77,8,10,9,10,8,7,33
19,16,7,8,7,59,10,9,8,8,8,8,35
12,19,10,9,7,63,8,7,7,7,7,9,36
18,11,7,8,8,57,9,8,10,8,9,7,35
18,14,8,10,7,73,10,8,9,7,7,7,37
13,20,9,7,8,60,8,8,7,8,9,9,34
11,15,10,10,8,66,10,8,9,9,10,9,36
13,20,7,7,9,75,7,8,8,9,7,9,34
12,17,9,8,8,75,10,10,8,8,8,9,36
12,15,9,7,8,57,7,8,8,10,8,8,33
16,15,9,7,9,66,10,9,7,9,8,10,33
13,19,8,9,8,78,7,9,8,10,8,9,36
15,19,8,10,7,70,8,10,7,10,10,8,37
15,16,8,10,8,59,8,8,8,7,9,10,36
20,17,9,10,10,64,10,8,7,9,8,7,35
20,14,8,10,9,77,7,7,8,10,8,8,34
15,16,9,7,10,77,8,9,7,9,8,7,36
11,18,8,7,10,75,10,8,8,9,10,7,37
11,13,8,8,7,79,7,7,10,10,7,8,36
11,16,7,9,10,59,10,10,8,9,9,10,33
19,15,7,7,7,61,9,10,8,8,9,8,35
19,18,7,8,9,71,8,8,8,9,8,7,33
13,17,9,10,10,68,8,10,9,7,10,9,34
17,12,8,8,10,76,7,8,10,9,7,7,34
12,11,8,8,10,68,8,9,7,10,9,10,34
13,20,10,7,10,57,7,10,9,9,8,10,36
13,11,9,7,7,75,9,10,7,10,8,8,33
20,14,10,8,8,60,10,10,7,8,8,9,36
13,19,7,10,10,77,8,7,7,8,9,7,34
20,20,9,7,9,71,9,8,7,7,9,8,33
11,17,10,10,7,72,8,10,8,7,9,9,37
19,18,10,7,9,56,7,8,10,7,9,9,35
18,13,8,7,8,72,9,9,10,8,8,10,36
13,13,9,7,10,67,10,7,9,9,7,9,36
19,17,8,8,7,76,7,7,8,7,10,9,36
13,19,7,7,9,58,9,10,9,10,10,7,35
13,17,9,10,10,76,7,9,8,8,8,8,34
14,16,9,7,7,59,9,7,9,10,10,7,36
15,13,10,7,8,70,8,8,10,9,7,7,35
11,19,10,7,7,63,9,10,8,10,8,10,37
11,16,9,9,7,78,10,8,8,8,7,9,35
16,20,9,10,7,75,8,8,7,9,8,8,33
15,12,8,9,7,68,10,10,9,9,9,7,37
14,17,7,9,7,64,10,10,9,9,9,8,36
16,17,9,9,10,70,8,8,9,10,7,8,37
11,15,8,9,7,65,8,9,7,9,8,7,36
19,12,7,9,7,76,7,9,9,9,7,9,34
12,18,8,9,10,74,8,8,10,8,7,9,34
13,12,8,9,7,73,7,7,9,9,9,8,33
14,18,10,8,8,62,7,8,8,10,10,9,35
16,14,9,9,7,62,9,9,8,10,10,8,36
18,12,10,7,10,66,10,8,9,9,9,10,35
14,17,10,9,8,59,10,10,10,7,8,9,33
20,20,10,7,8,72,9,8,9,10,8,7,36
16,16,8,10,10,64,10,8,7,9,8,10,37
17,16,8,9,9,71,8,7,10,7,8,8,36
12,17,7,10,10,60,9,9,9,7,10,10,35
17,15,7,8,9,70,10,7,10,9,8,9,35
15,17,9,8,8,59,8,9,9,10,7,10,36
12,20,10,8,9,59,8,8,10,10,10,9,35
19,16,8,8,10,70,10,7,9,10,7,9,37
13,16,10,10,8,77,10,9,7,8,8,7,37
19,13,10,9,9,72,9,9,7,9,7,8,34
17,16,10,9,8,71,8,10,7,10,8,9,33
12,16,7,9,7,72,8,10,7,7,8,9,35
12,15,7,10,9,67,10,7,10,7,9,9,37
19,17,10,7,9,79,7,9,10,9,8,8,35
19,20,9,10,10,68,9,10,7,9,7,7,34
15,18,7,10,8,76,10,10,10,8,8,10,36
14,12,7,9,10,61,10,8,8,9,10,8,35
15,17,10,8,8,61,7,7,10,8,8,10,36
13,13,7,7,7,74,10,10,9,7,10,8,36
15,19,9,7,9,63,9,9,8,9,7,7,34
14,17,7,8,8,71,10,10,7,9,10,10,33
11,19,10,9,8,56,7,7,9,10,10,8,34
18,11,9,7,9,65,7,9,7,10,8,8,37
13,11,7,9,7,69,8,7,9,7,8,10,36
23,28,8,8,10,70,9,7,7,10,8,8,34
27,27,8,7,7,77,7,8,7,10,8,10,35
28,25,8,8,9,79,10,8,9,7,8,8,35
29,26,9,8,7,78,8,8,7,7,8,8,34
22,24,10,7,7,58,8,8,10,9,9,8,34
30,29,7,9,10,59,8,7,9,7,10,9,35
27,22,7,10,9,69,8,7,7,10,8,9,36
25,22,9,10,10,72,9,7,8,9,8,7,34
24,23,10,8,8,56,10,10,7,8,7,7,35
30,25,8,9,9,76,8,7,7,10,9,10,35
24,27,10,8,9,62,9,10,10,8,10,9,34
22,26,9,8,7,79,7,9,7,7,7,7,36
30,25,8,8,9,58,8,7,10,8,10,10,35
30,23,8,9,8,65,7,7,8,9,8,10,36
28,23,10,10,10,66,10,7,7,10,8,9,37
23,23,8,9,9,61,9,9,9,10,8,8,37
30,29,9,9,10,58,9,9,7,8,8,8,37
30,29,8,10,8,76,8,7,7,9,9,7,35
24,23,7,8,7,69,9,10,10,10,8,10,34
30,29,10,7,7,72,9,7,9,10,7,10,35
26,26,9,8,9,67,10,8,9,7,9,9,33
30,28,10,9,7,65,9,7,9,9,7,10,35
29,27,10,7,8,78,7,8,9,7,9,8,34
24,27,10,8,9,73,7,9,8,8,10,7,37
21,23,8,7,10,78,10,8,10,8,8,7,34
21,25,9,10,10,77,8,10,9,7,8,9,34
24,30,9,7,8,68,8,10,7,7,9,7,37
24,29,9,8,7,67,7,10,9,8,9,10,37
29,26,10,9,7,77,7,10,9,8,9,8,33
30,25,8,7,10,72,9,10,9,8,10,7,34
27,23,9,7,10,74,8,7,9,7,10,8,35
22,29,9,10,10,75,7,7,8,8,9,9,35
28,24,9,8,8,78,7,9,9,10,10,10,35
