id,gender,Cat 1,Cat 2,Fat,Attendance,CGPA
380,Genderqueer,50,49,74,54,3.96
381,Male,41,6,98,28,6.93
382,Female,32,9,62,53,3.23
383,Male,9,32,47,76,5.43
384,Male,30,9,0,33,8.14
385,Male,34,24,39,56,1.07
386,Agender,23,20,20,47,4.65
387,Female,22,12,8,93,3.77
388,Female,5,13,31,69,7.41
389,Female,33,16,63,37,3.11
390,Male,31,47,87,15,2.49
391,Female,25,35,52,25,8.46
392,Male,4,1,82,17,8.93
393,Male,42,19,44,86,9.24
394,Male,17,0,17,100,3.95
395,Female,48,1,92,66,7.75
396,Female,36,41,91,22,1.22
397,Male,20,15,92,62,0.97
398,Male,23,12,16,0,6.74
399,Male,5,35,19,99,0.89
400,Male,49,8,52,93,7.76
401,Male,8,38,87,40,6.88
402,Male,34,50,33,1,4.85
403,Female,17,30,40,26,5.89
404,Male,36,42,4,10,5.56
405,Female,29,20,60,49,1.42
406,Female,20,37,37,12,6.55
407,Female,48,28,77,9,4.93
408,Female,5,48,76,61,2.38
409,Male,3,11,4,69,5.04
410,Female,18,41,80,6,6.68
411,Male,50,12,12,99,1.4
412,Female,16,4,57,54,6.51
413,Female,44,9,56,53,6.51
414,Female,16,9,74,14,5.79
415,Male,47,17,26,81,0.75
416,Male,19,36,58,15,8.19
417,Female,8,31,5,65,6.95
418,Female,47,39,93,34,2.15
419,Male,36,48,41,87,5.56
420,Female,49,37,77,51,9.75
421,Male,37,49,27,81,4.5
422,Female,4,29,75,84,2.02
423,Male,34,22,11,82,8.63
424,Female,12,32,70,60,3.69
425,Male,14,45,71,81,4.18
426,Male,3,50,60,32,0.45
427,Male,48,12,63,55,2.43
428,Female,11,22,1,9,4.34
429,Female,12,29,7,90,4.72
430,Male,47,48,56,2,5.33
431,Male,49,43,47,20,6.76
432,Male,28,44,92,98,3.22
433,Female,7,16,12,63,0.46
434,Male,47,27,52,9,1.4
435,Female,19,9,81,58,0.06
436,Male,41,2,57,76,5.77
437,Female,10,44,27,82,1.84
438,Female,44,29,35,5,0.22
439,Female,17,48,75,79,9.34
440,Male,29,35,0,93,6.67
441,Female,34,21,77,30,2.43
442,Female,5,46,39,10,6.73
443,Female,43,47,52,20,4.63
444,Female,32,3,76,25,4.0
445,Non-binary,49,30,93,71,3.55
446,Male,26,30,34,55,8.08
447,Genderqueer,47,27,57,100,4.06
448,Male,32,38,47,97,8.51
449,Female,5,34,50,80,0.05
450,Female,26,32,48,45,5.16
451,Male,7,24,46,87,0.3
452,Female,19,20,56,29,3.56
453,Non-binary,32,12,60,82,6.56
454,Male,45,22,92,94,9.49
455,Female,17,4,36,16,3.86
456,Male,42,18,86,94,6.51
457,Male,16,13,92,95,0.66
458,Female,19,40,46,40,1.66
459,Female,31,12,57,29,3.12
460,Male,35,39,2,6,1.22
461,Female,48,11,70,78,6.33
462,Female,4,27,21,56,7.94
463,Genderqueer,30,36,20,87,4.24
464,Female,16,3,0,77,1.21
465,Male,16,40,0,57,3.36
466,Female,24,34,85,37,6.62
467,Female,25,17,50,81,5.76
468,Female,29,36,35,29,7.88
469,Female,49,31,4,80,1.1
470,Male,16,29,34,31,5.69
471,Female,25,7,93,1,9.98
472,Male,23,1,2,2,3.15
473,Female,29,22,77,92,7.64
474,Female,37,0,52,74,8.79
475,Non-binary,38,27,89,31,9.02
476,Male,25,6,45,31,2.0
477,Female,0,46,36,63,6.56
478,Male,17,35,36,76,1.62
479,Female,29,37,85,87,5.53
480,Polygender,11,16,80,78,9.63
481,Female,40,16,13,95,4.6
482,Male,30,0,17,60,9.67
483,Male,20,26,84,91,7.76
484,Male,40,13,68,0,9.93
485,Female,42,18,8,70,0.7
486,Male,32,49,30,12,5.67
487,Genderfluid,22,42,67,50,8.59
488,Male,30,23,49,84,6.52
489,Genderqueer,9,24,37,14,6.19
490,Male,28,31,26,96,4.11
491,Female,49,3,15,13,9.91
492,Male,22,8,94,37,6.53
493,Female,8,17,96,93,3.54
494,Male,43,11,59,58,7.42
495,Female,46,14,80,78,7.95
496,Male,39,6,93,72,4.81
497,Female,32,31,17,72,8.71
498,Agender,16,24,86,33,5.15
499,Bigender,31,48,93,73,0.08
500,Female,9,14,97,19,6.89
501,Female,5,14,1,28,4.05
502,Male,24,50,88,27,8.38
503,Male,34,15,28,53,1.62
504,Male,0,0,100,22,2.5
505,Male,8,18,43,9,5.08
506,Female,24,26,99,66,7.01
507,Male,8,3,42,31,4.01
508,Male,17,40,16,48,0.76
509,Male,34,30,1,56,8.49
510,Female,24,46,78,53,0.84
511,Female,13,23,27,62,6.54
512,Male,24,30,95,28,6.83
513,Female,6,20,99,30,5.14
514,Male,6,39,69,13,5.07
515,Female,45,19,10,76,4.94
516,Male,16,33,16,56,2.65
517,Male,5,2,19,10,3.22
518,Male,17,18,43,10,7.88
519,Female,21,27,96,54,1.88
520,Female,16,29,24,64,5.44
521,Female,43,34,70,42,9.23
522,Female,38,27,58,55,9.19
523,Male,30,24,11,27,5.76
524,Male,40,27,31,36,1.02
525,Female,5,23,68,40,3.73
526,Male,21,27,40,6,3.57
527,Male,17,33,46,10,8.28
528,Genderqueer,29,2,50,99,3.02
529,Male,42,22,29,34,4.75
530,Male,8,1,49,76,1.92
531,Female,37,20,31,78,5.86
532,Female,7,46,87,71,6.65
533,Female,32,40,6,72,4.76
534,Female,47,20,48,68,1.99
535,Male,36,47,72,99,5.52
536,Agender,5,15,53,16,9.52
537,Male,14,9,79,2,9.03
538,Agender,22,29,90,31,7.49
539,Female,15,32,70,51,7.57
540,Female,31,7,46,0,5.25
541,Female,5,47,34,81,6.98
542,Male,12,13,49,83,7.94
543,Male,39,22,38,50,0.73
544,Male,39,19,12,86,2.71
545,Male,17,12,83,68,5.18
546,Non-binary,21,30,78,96,1.5
547,Female,35,30,83,35,2.38
548,Male,5,33,88,17,0.07
549,Male,10,30,94,44,2.92
550,Female,39,47,65,31,1.97
551,Male,41,8,43,60,3.47
552,Male,46,5,46,62,8.59
553,Female,12,41,34,42,9.77
554,Male,17,11,7,49,2.71
555,Male,48,11,12,91,7.8
556,Female,50,17,49,40,1.41
557,Male,43,39,84,87,4.04
558,Agender,38,37,24,42,5.06
559,Female,10,4,73,66,2.62
560,Male,26,11,54,34,9.5
561,Male,16,1,0,92,7.55
562,Female,44,8,39,95,9.63
563,Male,49,21,100,28,0.77
564,Male,44,26,52,41,8.27
565,Male,26,27,51,10,5.66
566,Male,20,39,17,9,8.44
567,Male,46,12,98,10,2.85
568,Male,2,33,7,57,5.98
569,Female,26,10,80,67,3.46
570,Female,35,34,69,52,6.74
571,Male,30,35,57,9,4.57
572,Male,16,17,90,14,1.68
573,Female,28,43,45,2,4.25
574,Male,9,23,26,56,1.93
575,Male,32,31,94,48,4.44
576,Female,24,14,99,77,8.44
577,Male,31,10,78,29,2.35
578,Genderfluid,11,45,56,2,2.41
579,Female,17,45,27,23,4.9
580,Non-binary,2,12,86,25,0.21
581,Female,43,49,41,58,7.2
582,Female,18,32,36,54,5.85
583,Male,14,28,84,42,6.63
584,Female,41,25,52,71,5.2
585,Female,3,39,8,4,8.15
586,Female,6,48,19,83,4.43
587,Male,12,11,82,65,6.92
588,Male,38,25,24,46,3.66
589,Female,37,9,48,14,8.93
590,Male,26,38,21,72,4.46
591,Female,19,29,18,19,0.29
592,Genderfluid,16,47,57,82,4.55
593,Female,6,39,28,29,6.94
594,Male,21,18,37,67,3.63
595,Male,10,36,31,73,1.81
596,Male,25,8,36,47,5.76
597,Male,18,37,9,3,8.98
598,Female,0,45,84,63,7.45
599,Male,43,21,98,58,2.62
600,Female,19,18,24,34,2.43
601,Male,15,11,92,10,8.38
602,Female,7,3,72,42,3.71
603,Bigender,9,30,65,89,7.44
604,Female,32,38,78,4,2.67
605,Female,8,11,56,52,8.61
606,Female,11,41,47,19,4.61
607,Male,46,50,92,11,3.06
608,Male,28,4,79,13,5.9
609,Female,0,33,81,21,3.56
610,Female,8,44,57,92,8.22
611,Female,8,17,35,25,0.42
612,Non-binary,39,24,23,75,4.36
613,Male,5,35,42,76,0.11
614,Non-binary,5,11,59,4,7.7
615,Male,48,24,66,91,1.7
616,Male,38,2,85,12,0.01
617,Female,36,46,81,20,8.33
618,Male,49,42,56,37,4.49
619,Female,17,24,3,90,6.51
620,Male,42,31,88,46,0.2
621,Female,23,41,15,1,8.76
622,Male,33,45,87,57,8.38
623,Male,5,24,13,49,9.71
624,Genderqueer,43,39,1,34,6.67
625,Male,17,25,15,8,8.32
626,Male,29,18,20,97,3.64
627,Female,37,30,68,49,3.5
628,Male,28,1,40,63,6.61
629,Female,4,13,69,88,2.03
630,Male,49,11,25,43,4.11
631,Female,40,19,46,58,9.85
632,Male,34,19,91,1,7.68
633,Female,15,20,21,92,2.68
634,Male,48,1,88,88,2.73
635,Bigender,49,12,44,72,8.79
636,Female,5,1,2,33,1.2
637,Male,47,23,96,92,8.65
638,Female,35,15,53,42,5.75
639,Male,33,1,57,22,4.07
640,Male,19,2,11,66,8.86
641,Male,47,11,67,67,2.67
642,Female,22,29,24,49,9.14
643,Female,50,31,24,89,6.77
644,Non-binary,2,33,47,32,5.89
645,Male,6,12,2,29,2.93
646,Female,2,3,95,85,2.8
647,Female,0,19,73,94,9.67
648,Male,4,18,97,26,7.51
649,Female,0,13,1,91,0.9
650,Female,1,46,32,51,5.36
651,Male,29,40,84,8,4.45
652,Male,14,18,29,46,7.6
653,Female,32,43,24,82,1.01
654,Female,33,7,79,67,6.85
655,Male,39,47,82,38,6.33
656,Female,10,33,60,6,8.98
657,Female,47,20,56,3,6.69
658,Male,28,41,0,81,6.6
659,Female,13,27,9,40,8.58
660,Female,15,39,10,71,0.44
661,Female,34,24,32,24,0.31
662,Female,4,26,98,48,3.12
663,Female,22,20,68,87,6.07
664,Male,25,37,43,48,3.29
665,Female,34,27,88,7,1.25
666,Female,41,26,60,33,4.84
667,Male,38,34,77,19,8.64
668,Female,39,48,38,44,1.24
669,Female,32,2,67,65,8.54
670,Male,2,2,25,85,8.03
671,Female,42,29,55,19,8.03
672,Male,13,6,87,23,7.05
673,Female,17,9,5,56,8.73
674,Female,39,20,55,72,3.14
675,Male,21,29,0,92,8.2
676,Male,10,43,81,27,4.54
677,Male,8,45,28,26,2.48
678,Female,4,19,40,13,1.73
679,Male,13,13,26,40,7.36
680,Female,30,15,52,83,9.49
681,Male,35,21,45,33,9.13
682,Male,8,15,61,38,2.45
683,Female,29,31,23,82,4.27
684,Male,49,42,62,87,3.46
685,Female,46,40,87,4,6.72
686,Female,10,41,29,92,2.99
687,Male,37,6,25,28,4.85
688,Female,33,12,48,30,1.23
689,Male,26,20,11,71,8.89
690,Female,8,6,74,73,2.2
691,Male,24,42,52,94,4.56
692,Female,3,4,88,18,7.96
693,Male,12,46,35,65,0.2
694,Male,7,37,58,4,5.43
695,Female,11,19,89,67,0.96
696,Male,44,24,11,38,5.42
697,Female,39,25,8,54,9.77
698,Male,10,35,2,68,5.92
699,Male,37,43,37,82,6.59
700,Female,6,2,54,9,3.49
701,Male,44,42,14,64,6.48
702,Male,43,14,73,28,4.56
703,Male,47,15,13,97,5.27
704,Female,43,29,45,62,2.42
705,Male,44,24,71,28,8.23
706,Female,42,46,81,11,3.93
707,Female,26,47,7,84,0.73
708,Genderfluid,24,23,37,27,6.05
709,Female,45,18,35,73,1.45
710,Female,38,11,79,96,1.8
711,Female,0,24,93,29,6.79
712,Female,10,14,81,40,2.9
713,Female,27,0,37,53,6.63
714,Female,11,46,4,81,0.83
715,Female,20,0,8,0,7.66
716,Male,40,20,29,83,8.7
717,Bigender,13,37,81,14,3.72
718,Male,23,5,25,53,4.87
719,Male,12,22,25,41,1.92
720,Male,13,44,0,31,3.3
721,Male,46,40,22,85,1.54
722,Male,42,48,14,14,3.68
723,Male,7,16,52,15,9.37
724,Polygender,29,21,49,4,0.77
725,Male,29,44,95,74,9.69
726,Male,15,42,61,28,8.53
727,Male,8,4,14,88,8.05
728,Female,13,45,19,90,4.5
729,Female,22,33,48,47,4.05
730,Female,13,12,23,85,7.73
731,Female,48,50,54,23,6.74
732,Male,28,38,49,86,3.69
733,Female,9,16,3,67,5.8
734,Female,6,37,65,7,2.86
735,Female,45,2,87,38,5.1
736,Male,43,49,100,12,3.46
737,Male,44,21,49,13,1.31
738,Female,46,6,92,92,6.34
739,Male,5,38,18,59,3.5
740,Female,46,28,77,3,7.38
741,Male,27,8,54,19,3.98
742,Female,44,41,71,57,7.63
743,Agender,34,50,49,78,3.84
744,Female,21,43,17,66,8.97
745,Male,1,4,87,0,5.59
746,Male,38,25,29,76,8.61
747,Male,16,10,49,100,7.99
748,Male,16,14,4,85,5.92
749,Female,17,5,78,45,0.86
750,Female,41,14,66,88,6.86
751,Genderfluid,3,34,15,1,4.72
752,Female,23,8,45,67,1.89
753,Female,37,18,69,59,1.79
754,Female,31,41,28,32,0.53
755,Female,42,9,61,85,2.26
756,Female,3,1,69,32,0.84
757,Female,21,41,22,33,7.12
758,Female,25,20,17,67,7.15
759,Non-binary,42,15,91,89,7.36
760,Male,35,33,45,65,6.21
761,Male,21,30,5,40,5.73
762,Female,26,21,38,43,4.38
763,Female,41,43,50,52,0.72
764,Male,12,10,34,35,9.7
765,Male,28,33,58,65,6.29
766,Male,48,37,76,58,8.99
767,Female,20,28,19,95,6.26
768,Male,26,50,4,100,0.08
769,Male,23,50,2,82,2.66
770,Male,20,5,51,56,2.6
771,Female,0,23,91,69,8.68
772,Male,36,35,47,67,2.88
773,Male,3,13,8,37,6.31
774,Genderqueer,49,26,0,22,9.99
775,Genderfluid,29,33,80,16,1.25
776,Female,45,16,7,73,8.07
777,Female,22,23,6,71,1.19
778,Female,4,22,56,38,7.06
779,Male,7,16,53,65,0.14
780,Female,7,25,39,22,4.35
781,Male,37,0,15,35,4.63
782,Female,17,13,83,62,8.71
783,Female,20,0,47,28,6.04
784,Genderqueer,40,28,57,95,2.78
785,Bigender,10,31,45,42,5.51
786,Female,26,22,73,88,7.25
787,Male,5,6,43,8,4.55
788,Male,18,22,64,66,7.38
789,Female,12,18,56,78,2.15
790,Male,27,46,58,7,2.8
791,Female,8,40,0,33,9.38
792,Male,0,39,16,57,0.42
793,Female,27,27,58,57,7.09
794,Female,11,33,6,86,0.81
795,Female,31,20,5,86,2.6
796,Male,13,33,49,27,6.03
797,Male,38,34,69,6,3.63
798,Agender,32,22,38,88,1.74
799,Male,1,48,1,46,3.82
800,Non-binary,34,7,78,58,9.12
801,Male,37,24,79,29,0.75
802,Male,24,7,91,96,5.96
803,Genderfluid,11,48,4,100,1.31
804,Bigender,45,7,34,44,0.9
805,Polygender,3,50,40,78,9.33
806,Female,25,25,12,12,5.26
807,Female,45,47,80,48,2.45
